dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
0.0,0.2719665271966527,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.025,0.3333333333333333
0.016171452170322453,0.5167364016736401,0.033333333333333326,0.08791208791208793,0.2,0.2142857142857143,0.14285714285714285,0.11627906976744186,0.0,0.11583011583011585,0.06196840826245443,0.013793103448275862,0.05000000000000001,0.3333333333333333
0.030777925098355752,0.5669456066945606,0.2333333333333333,0.2417582417582418,0.06666666666666667,0.2619047619047619,0.0,0.20116279069767443,0.05555555555555555,0.1274131274131274,0.06561360874848116,0.0,0.1,0.6666666666666666
0.04692764144586725,0.50836820083682,0.033333333333333326,0.3076923076923077,0.6,0.30952380952380953,0.2857142857142857,0.3732558139534884,0.0,0.2007722007722008,0.13365735115431346,0.04482758620689655,0.0,0.16666666666666666
0.06257743386876058,0.5564853556485355,0.06666666666666665,0.37362637362637363,0.6666666666666666,0.40476190476190477,0.14285714285714285,0.3,0.0,0.1969111969111969,0.08566221142162819,0.04482758620689655,0.1,0.5
0.07874888603908126,1.0,0.16666666666666666,0.6043956043956045,0.13333333333333333,0.6904761904761904,0.42857142857142855,0.4697674418604651,0.0,0.35907335907335913,0.21263669501822596,0.12758620689655173,0.1,0.16666666666666666
0.09439867846197458,0.7133891213389121,0.2333333333333333,0.6813186813186813,0.6,0.6904761904761904,0.42857142857142855,0.6151162790697674,0.0,0.362934362934363,0.21202916160388818,0.41379310344827586,0.375,0.16666666666666666
0.11057013063229526,0.6694560669456067,0.2333333333333333,1.0,0.26666666666666666,0.9999999999999999,0.42857142857142855,0.655813953488372,0.0,0.42471042471042475,0.22478736330498175,0.196551724137931,0.225,0.0
0.1267415828026177,0.5794979079497907,0.19999999999999998,0.7142857142857143,0.9333333333333333,0.8214285714285713,0.5714285714285714,0.6941860465116279,0.08333333333333333,0.4864864864864865,0.3244228432563791,0.11379310344827584,0.07500000000000001,0.8333333333333333
0.14239137522550926,0.1527196652719665,0.1,0.17582417582417587,0.2,0.2619047619047619,0.42857142857142855,0.24534883720930234,0.0,0.16216216216216217,0.14763061968408261,0.10344827586206895,0.12500000000000003,1.0
0.15856282739583172,0.11087866108786609,0.1,0.09890109890109894,0.2,0.10714285714285714,0.14285714285714285,0.2,0.0,0.06563706563706564,0.04678007290400971,0.12413793103448276,0.12500000000000003,0.6666666666666666
0.17423435564153422,0.09205020920502091,0.13333333333333333,0.043956043956043966,0.06666666666666667,0.15476190476190477,0.14285714285714285,0.20232558139534884,0.05555555555555555,0.08108108108108109,0.12029161603888211,0.08275862068965517,0.07500000000000001,0.5
0.1904058078118549,0.1317991631799163,0.06666666666666665,0.17582417582417587,0.3333333333333333,0.2738095238095238,0.14285714285714285,0.2488372093023256,0.027777777777777776,0.1969111969111969,0.22478736330498175,0.09655172413793103,0.05000000000000001,0.3333333333333333
0.20657725998217735,0.1820083682008368,0.13333333333333333,0.28571428571428575,0.06666666666666667,0.369047619047619,0.2857142857142857,0.15000000000000002,0.05555555555555555,0.1969111969111969,0.08869987849331712,0.2931034482758621,0.1,0.0
0.22170539265763978,0.09832635983263596,0.19999999999999998,0.19780219780219782,0.26666666666666666,0.17857142857142855,0.14285714285714285,0.3383720930232558,0.0,0.15830115830115832,0.12454434993924665,0.08620689655172414,0.2,0.16666666666666666
0.23785510900515305,0.29079497907949786,0.2333333333333333,0.28571428571428575,0.3333333333333333,0.38095238095238093,0.14285714285714285,0.3813953488372093,0.0,0.3783783783783784,0.2806804374240583,0.14137931034482756,0.12500000000000003,0.16666666666666666
0.2535049014280446,0.14435146443514643,0.033333333333333326,0.2527472527472528,0.06666666666666667,0.32142857142857145,0.14285714285714285,0.20813953488372094,0.027777777777777776,0.17374517374517376,0.11421628189550423,0.1586206896551724,0.17500000000000002,0.16666666666666666
0.26967635359836706,0.23640167364016734,0.4,0.7692307692307693,0.5333333333333333,0.7976190476190476,0.14285714285714285,0.7744186046511627,0.2222222222222222,0.4362934362934363,0.35297691373025514,0.13448275862068965,0.375,0.0
0.2853261460212586,0.06903765690376568,0.2333333333333333,0.35164835164835173,0.4666666666666667,0.30952380952380953,0.14285714285714285,0.5034883720930232,0.05555555555555555,0.23552123552123552,0.22782503037667068,0.21379310344827585,0.15000000000000002,0.5
0.30149759819158106,0.08577405857740586,0.2666666666666666,0.4065934065934066,0.4666666666666667,0.4761904761904762,0.2857142857142857,0.37790697674418605,0.05555555555555555,0.28957528957528955,0.21506682867557714,0.1689655172413793,0.375,0.5
0.31766905036190174,0.04184100418410042,0.16666666666666666,0.26373626373626374,0.13333333333333333,0.32142857142857145,0.14285714285714285,0.15232558139534885,0.027777777777777776,0.2200772200772201,0.11968408262454433,0.23448275862068965,0.17500000000000002,0.16666666666666666
0.33331884278479507,0.12552301255230125,0.2333333333333333,0.7252747252747254,0.2,0.7738095238095237,0.42857142857142855,0.5232558139534883,0.0,0.43243243243243246,0.22114216281895502,0.22413793103448273,0.3,0.5
0.34949029495511574,0.05648535564853556,0.30000000000000004,0.3186813186813187,0.4666666666666667,0.3333333333333333,0.2857142857142857,0.4558139534883721,0.1111111111111111,0.23166023166023167,0.18833535844471444,0.18275862068965518,0.2,0.3333333333333333
0.36516182320081825,0.02092050209205021,0.06666666666666665,0.17582417582417587,0.0,0.25,0.2857142857142857,0.24069767441860468,0.0,0.11196911196911197,0.09781287970838395,0.16206896551724137,0.12500000000000003,0.16666666666666666
0.3813332753711407,0.05230125523012552,0.4666666666666667,0.3186813186813187,0.4,0.34523809523809523,0.2857142857142857,0.5290697674418604,0.0,0.24710424710424714,0.25698663426488455,0.2931034482758621,0.5,0.3333333333333333
0.3975047275414614,0.029288702928870286,0.2333333333333333,0.19780219780219782,0.06666666666666667,0.2738095238095238,0.2857142857142857,0.33488372093023255,0.1388888888888889,0.138996138996139,0.1366950182260024,0.28620689655172415,0.2,0.0
0.4121112004694947,0.09832635983263596,0.2666666666666666,0.5824175824175825,0.26666666666666666,0.6547619047619047,0.42857142857142855,0.49186046511627907,0.19444444444444442,0.39768339768339767,0.3019441069258809,0.3206896551724138,0.45,0.16666666666666666
0.4282609168170062,0.09414225941422594,0.3666666666666667,0.5824175824175825,0.6666666666666666,0.5952380952380951,0.5714285714285714,0.6744186046511628,0.16666666666666666,0.37451737451737455,0.32806804374240583,0.15517241379310345,0.17500000000000002,0.16666666666666666
0.4439107092398995,0.1213389121338912,0.2666666666666666,0.6373626373626374,1.0,0.619047619047619,0.2857142857142857,0.7011627906976744,0.05555555555555555,0.5521235521235521,0.40157958687727824,0.30689655172413793,0.675,0.16666666666666666
0.4600821614102202,0.03974895397489539,0.2333333333333333,0.27472527472527475,0.06666666666666667,0.38095238095238093,0.42857142857142855,0.25465116279069766,0.1111111111111111,0.22779922779922782,0.17618469015795868,0.27586206896551724,0.275,0.16666666666666666
0.4757319538331135,0.03765690376569038,0.2666666666666666,0.3076923076923077,0.2,0.35714285714285715,0.14285714285714285,0.33488372093023255,0.19444444444444442,0.1776061776061776,0.14945321992709598,0.3413793103448276,0.3,0.3333333333333333
0.4919034060034342,0.016736401673640162,0.30000000000000004,0.18681318681318682,0.0,0.25,0.2857142857142857,0.2569767441860465,0.16666666666666666,0.15830115830115832,0.17314702308626972,0.25862068965517243,0.225,0.0
0.5080748581737566,0.03974895397489539,0.33333333333333337,0.26373626373626374,0.26666666666666666,0.34523809523809523,0.5714285714285714,0.4325581395348837,0.2777777777777778,0.21235521235521235,0.23876063183475088,0.2655172413793104,0.35,0.0
0.52372465059665,0.0606694560669456,0.33333333333333337,0.4835164835164836,0.4,0.4761904761904762,0.7142857142857142,0.4604651162790698,0.2777777777777778,0.3011583011583012,0.18894289185905222,0.3137931034482759,0.3,0.3333333333333333
0.5398961027669706,0.03974895397489539,0.30000000000000004,0.2527472527472528,0.26666666666666666,0.3333333333333333,0.42857142857142855,0.3244186046511628,0.41666666666666663,0.24710424710424714,0.23025516403402185,0.3310344827586207,0.325,0.0
0.5555676310126731,0.04184100418410042,0.3666666666666667,0.3076923076923077,0.0,0.38095238095238093,0.5714285714285714,0.4604651162790698,0.2777777777777778,0.24324324324324323,0.22357229647630616,0.4,0.3,0.16666666666666666
0.5717390831829938,0.04393305439330543,0.30000000000000004,0.3186813186813187,0.06666666666666667,0.39285714285714285,0.42857142857142855,0.45813953488372094,0.1111111111111111,0.3359073359073359,0.2709599027946537,0.3310344827586207,0.275,0.16666666666666666
0.5879105353533163,0.0606694560669456,0.4666666666666667,0.4505494505494506,0.3333333333333333,0.4523809523809524,0.5714285714285714,0.5313953488372093,0.16666666666666666,0.277992277992278,0.2339003645200486,0.3448275862068966,0.475,0.16666666666666666
0.6025170082813496,0.08786610878661086,0.4666666666666667,0.5714285714285715,0.06666666666666667,0.6309523809523808,0.5714285714285714,0.43023255813953487,0.5,0.2702702702702703,0.27399756986634266,0.4965517241379311,0.8,0.0
0.6186667246288611,0.03556485355648535,0.43333333333333335,0.28571428571428575,0.26666666666666666,0.3333333333333333,0.5714285714285714,0.527906976744186,0.2777777777777778,0.1969111969111969,0.2168894289185905,0.3931034482758621,0.35,0.0
0.6343165170517544,0.0606694560669456,0.4,0.41758241758241765,0.13333333333333333,0.4761904761904762,0.5714285714285714,0.5720930232558139,0.3611111111111111,0.29729729729729726,0.3487241798298906,0.4724137931034483,0.55,0.16666666666666666
0.6504879692220751,0.08368200836820083,0.5333333333333333,0.5494505494505495,0.5333333333333333,0.6071428571428571,0.5714285714285714,0.9209302325581394,0.6944444444444444,0.4015444015444015,0.5206561360874847,0.5206896551724137,0.45,0.16666666666666666
0.6661377616449684,0.06485355648535564,0.7333333333333334,0.5054945054945056,0.0,0.5238095238095237,0.5714285714285714,0.6255813953488372,0.5,0.3127413127413128,0.30619684082624543,0.4793103448275862,0.775,0.16666666666666666
0.6823092138152891,0.050209205020920494,0.7000000000000001,0.3076923076923077,0.2,0.42857142857142855,0.42857142857142855,0.4186046511627907,0.25,0.2702702702702703,0.267314702308627,0.4724137931034483,0.45,0.0
0.6984806659856115,0.0815899581589958,0.5333333333333333,0.4945054945054945,0.13333333333333333,0.5476190476190476,0.5714285714285714,0.5348837209302325,0.2222222222222222,0.33976833976833976,0.287363304981774,0.46551724137931033,0.5,0.0
0.7141304584085031,0.11297071129707112,0.5666666666666667,0.6923076923076924,0.26666666666666666,0.738095238095238,0.7142857142857142,0.527906976744186,0.3333333333333333,0.9999999999999999,0.9999999999999998,0.45517241379310347,0.7000000000000001,0.16666666666666666
0.7303019105788255,0.07531380753138074,0.33333333333333337,0.43956043956043955,0.06666666666666667,0.5476190476190476,0.7142857142857142,0.30348837209302326,0.3055555555555555,0.2857142857142857,0.255771567436209,0.5586206896551724,0.35,0.0
0.745973438824528,0.050209205020920494,0.4,0.35164835164835173,0.13333333333333333,0.4404761904761904,0.5714285714285714,0.3325581395348837,0.25,0.21235521235521235,0.14034021871202915,0.5068965517241378,0.375,0.0
0.7621448909948487,0.03138075313807531,0.5,0.3186813186813187,0.8,0.30952380952380953,0.5714285714285714,0.5023255813953488,0.3055555555555555,0.2625482625482626,0.22964763061968405,0.6379310344827586,0.675,0.3333333333333333
0.7783163431651712,0.03138075313807531,0.43333333333333335,0.35164835164835173,0.26666666666666666,0.32142857142857145,0.7142857142857142,0.4232558139534884,0.16666666666666666,0.2200772200772201,0.17618469015795868,0.45862068965517244,0.35,0.0
0.7929228160932045,0.0606694560669456,0.7000000000000001,0.46153846153846156,0.3333333333333333,0.46428571428571425,0.7142857142857142,0.5976744186046511,0.2222222222222222,0.2934362934362934,0.27217496962332927,0.593103448275862,0.625,0.0
0.809072532440716,0.08368200836820083,0.5666666666666667,0.4725274725274725,0.9333333333333333,0.6071428571428571,0.7142857142857142,0.7965116279069767,0.16666666666666666,0.6293436293436293,0.6476306196840825,0.9999999999999999,0.725,0.0
0.8247223248636093,0.06276150627615062,0.6333333333333333,0.34065934065934067,0.13333333333333333,0.49999999999999994,0.7142857142857142,0.5325581395348836,0.4722222222222222,0.33976833976833976,0.41069258809234505,0.6241379310344827,0.425,0.0
0.84089377703393,0.12761506276150628,1.0,0.7142857142857143,0.9333333333333333,0.8333333333333333,0.7142857142857142,0.9999999999999999,0.6944444444444444,0.5868725868725868,0.6555285540704738,0.9620689655172413,1.0000000000000002,0.16666666666666666
0.8565435694568233,0.07740585774058577,0.7666666666666667,0.6153846153846154,0.8,0.5714285714285714,0.8571428571428572,0.9313953488372092,1.0,0.444015444015444,0.5613608748481166,0.5724137931034482,0.8,0.0
0.872715021627144,0.09623430962343096,0.8333333333333334,0.6153846153846154,0.7333333333333333,0.6904761904761904,1.0,0.8848837209302325,0.7777777777777777,0.5984555984555985,0.7253948967193194,0.5275862068965517,0.775,0.0
0.8888864737974664,0.03765690376569038,0.3666666666666667,0.2417582417582418,0.2,0.34523809523809523,0.5714285714285714,0.42790697674418604,0.38888888888888884,0.250965250965251,0.3626974483596598,0.44482758620689655,0.5,0.0
0.904536266220358,0.05439330543933053,0.6333333333333333,0.41758241758241765,0.26666666666666666,0.4404761904761904,0.42857142857142855,0.4476744186046512,0.3333333333333333,0.3359073359073359,0.29647630619684084,0.4931034482758621,0.725,0.16666666666666666
0.9207077183906804,0.05439330543933053,0.5,0.3626373626373627,0.26666666666666666,0.42857142857142855,0.42857142857142855,0.2616279069767442,0.4722222222222222,0.32432432432432434,0.25455650060753343,0.5689655172413792,0.5750000000000001,0.0
0.936379246636383,0.03138075313807531,0.3666666666666667,0.3846153846153847,0.6666666666666666,0.30952380952380953,0.7142857142857142,0.4232558139534884,0.6944444444444444,0.2625482625482626,0.25273390036452004,0.503448275862069,0.675,0.0
0.9525506988067036,0.03765690376569038,0.4666666666666667,0.3076923076923077,0.13333333333333333,0.34523809523809523,0.7142857142857142,0.2593023255813954,0.38888888888888884,0.23552123552123552,0.17679222357229646,0.5,0.65,0.0
0.9687221509770261,0.05857740585774057,0.6,0.41758241758241765,0.3333333333333333,0.4761904761904762,0.5714285714285714,0.4313953488372093,0.611111111111111,0.35521235521235517,0.34143377885783716,0.503448275862069,0.775,0.0
0.9838502836524885,0.03765690376569038,0.5,0.2417582417582418,0.26666666666666666,0.34523809523809523,0.7142857142857142,0.38720930232558143,0.6944444444444444,0.27413127413127414,0.37241798298906437,0.40689655172413797,0.6,0.0
1.0,0.0,0.30000000000000004,0.14285714285714285,0.2,0.14285714285714285,0.5714285714285714,0.17325581395348838,1.0,0.15057915057915058,0.2114216281895504,0.32758620689655177,0.5,0.0
